path,weather,image_id,pred,task,model
../dataset/test/images/tornado_test_00107.jpg,tornado,tornado_test_00107,tornado,wc,claude-opus-4-7
../dataset/test/images/fog_test_00072.jpg,fog,fog_test_00072,rain,wc,claude-opus-4-7
../dataset/test/images/snow_test_00321.jpg,snow,snow_test_00321,snow,wc,claude-opus-4-7
../dataset/test/images/flooding_test_00999.jpg,flooding,flooding_test_00999,rain,wc,claude-opus-4-7
../dataset/test/images/wildfire_test_00196.jpg,wildfire,wildfire_test_00196,wildfire,wc,claude-opus-4-7
../dataset/test/images/wildfire_test_00255.jpg,wildfire,wildfire_test_00255,wildfire,wc,claude-opus-4-7
../dataset/test/images/wildfire_test_00184.jpg,wildfire,wildfire_test_00184,wildfire,wc,claude-opus-4-7
../dataset/test/images/tornado_test_00053.jpg,tornado,tornado_test_00053,rain,wc,claude-opus-4-7
../dataset/test/images/tornado_test_00093.jpg,tornado,tornado_test_00093,tornado,wc,claude-opus-4-7
../dataset/test/images/fog_test_00050.jpg,fog,fog_test_00050,fog,wc,claude-opus-4-7
../dataset/test/images/flooding_test_00135.jpg,flooding,flooding_test_00135,flooding,wc,claude-opus-4-7
../dataset/test/images/tornado_test_00106.jpg,tornado,tornado_test_00106,tornado,wc,claude-opus-4-7
../dataset/test/images/wildfire_test_00201.jpg,wildfire,wildfire_test_00201,wildfire,wc,claude-opus-4-7
../dataset/test/images/dust_test_00050.jpg,haze/sand/dust,dust_test_00050,fog,wc,claude-opus-4-7
../dataset/test/images/dust_test_00027.jpg,haze/sand/dust,dust_test_00027,haze/sand/dust,wc,claude-opus-4-7
../dataset/test/images/heavy_rain_test_00178.jpg,rain,heavy_rain_test_00178,rain,wc,claude-opus-4-7
../dataset/test/images/fog_test_00070.jpg,fog,fog_test_00070,rain,wc,claude-opus-4-7
../dataset/test/images/wildfire_test_00262.jpg,wildfire,wildfire_test_00262,wildfire,wc,claude-opus-4-7
../dataset/test/images/wildfire_test_00143.jpg,wildfire,wildfire_test_00143,wildfire,wc,claude-opus-4-7
../dataset/test/images/wildfire_test_00059.jpg,wildfire,wildfire_test_00059,wildfire,wc,claude-opus-4-7
../dataset/test/images/snow_test_00118.jpg,snow,snow_test_00118,snow,wc,claude-opus-4-7
../dataset/test/images/dust_test_00104.jpg,haze/sand/dust,dust_test_00104,rain,wc,claude-opus-4-7
../dataset/test/images/snow_test_00001.jpg,snow,snow_test_00001,snow,wc,claude-opus-4-7
../dataset/test/images/wildfire_test_00135.jpg,wildfire,wildfire_test_00135,wildfire,wc,claude-opus-4-7
../dataset/test/images/heavy_rain_test_00063.jpg,rain,heavy_rain_test_00063,rain,wc,claude-opus-4-7
../dataset/test/images/tornado_test_00024.jpg,tornado,tornado_test_00024,tornado,wc,claude-opus-4-7
../dataset/test/images/heavy_rain_test_00218.jpg,rain,heavy_rain_test_00218,rain,wc,claude-opus-4-7
../dataset/test/images/flooding_test_00489.jpg,flooding,flooding_test_00489,flooding,wc,claude-opus-4-7
../dataset/test/images/tornado_test_00131.jpg,tornado,tornado_test_00131,flooding,wc,claude-opus-4-7
../dataset/test/images/fog_test_00010.jpg,fog,fog_test_00010,fog,wc,claude-opus-4-7
../dataset/test/images/wildfire_test_00107.jpg,wildfire,wildfire_test_00107,wildfire,wc,claude-opus-4-7
../dataset/test/images/wildfire_test_00095.jpg,wildfire,wildfire_test_00095,wildfire,wc,claude-opus-4-7
../dataset/test/images/snow_test_00216.jpg,snow,snow_test_00216,snow,wc,claude-opus-4-7
../dataset/test/images/snow_test_00250.jpg,snow,snow_test_00250,snow,wc,claude-opus-4-7
../dataset/test/images/heavy_rain_test_00020.jpg,rain,heavy_rain_test_00020,rain,wc,claude-opus-4-7
../dataset/test/images/wildfire_test_00288.jpg,wildfire,wildfire_test_00288,fog,wc,claude-opus-4-7
../dataset/test/images/snow_test_00170.jpg,snow,snow_test_00170,snow,wc,claude-opus-4-7
../dataset/test/images/heavy_rain_test_00224.jpg,rain,heavy_rain_test_00224,rain,wc,claude-opus-4-7
../dataset/test/images/snow_test_00100.jpg,snow,snow_test_00100,snow,wc,claude-opus-4-7
../dataset/test/images/wildfire_test_00082.jpg,wildfire,wildfire_test_00082,wildfire,wc,claude-opus-4-7
../dataset/test/images/dust_test_00097.jpg,haze/sand/dust,dust_test_00097,fog,wc,claude-opus-4-7
../dataset/test/images/tornado_test_00101.jpg,tornado,tornado_test_00101,tornado,wc,claude-opus-4-7
../dataset/test/images/flooding_test_00803.jpg,flooding,flooding_test_00803,rain,wc,claude-opus-4-7
../dataset/test/images/flooding_test_00913.jpg,flooding,flooding_test_00913,rain,wc,claude-opus-4-7
../dataset/test/images/dust_test_00081.jpg,haze/sand/dust,dust_test_00081,fog,wc,claude-opus-4-7
../dataset/test/images/fog_test_00002.jpg,fog,fog_test_00002,fog,wc,claude-opus-4-7
../dataset/test/images/dust_test_00125.jpg,haze/sand/dust,dust_test_00125,rain,wc,claude-opus-4-7
../dataset/test/images/tornado_test_00127.jpg,tornado,tornado_test_00127,rain,wc,claude-opus-4-7
../dataset/test/images/tornado_test_00086.jpg,tornado,tornado_test_00086,haze/sand/dust,wc,claude-opus-4-7
../dataset/test/images/flooding_test_00836.jpg,flooding,flooding_test_00836,rain,wc,claude-opus-4-7
../dataset/test/images/flooding_test_00384.jpg,flooding,flooding_test_00384,flooding,wc,claude-opus-4-7
../dataset/test/images/heavy_rain_test_00172.jpg,rain,heavy_rain_test_00172,rain,wc,claude-opus-4-7
../dataset/test/images/flooding_test_00031.jpg,flooding,flooding_test_00031,flooding,wc,claude-opus-4-7
../dataset/test/images/dust_test_00046.jpg,haze/sand/dust,dust_test_00046,fog,wc,claude-opus-4-7
